date,market,investor_type,bid_raw,ask_raw,net_raw,raw_unit_hint
2026-01-13,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-13,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-13,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-13,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-13,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-13,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-14,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-14,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-14,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-14,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-14,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-14,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-15,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-15,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-15,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-15,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-15,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-15,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-16,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-16,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-16,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-16,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-16,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-16,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-19,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-19,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-19,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-19,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-19,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-19,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
